X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
-123.101162,49.245176,5,60,0,0
-123.100660,49.269048,1,30,0,0
-123.099428,49.282248,1,30,0,0
-123.097494,49.281308,1,30,0,0
-123.091081,49.211040,1,60,0,0
-123.086049,49.320040,5,30,0,0
-123.083922,49.155450,5,50,0,0
-123.079141,49.280197,5,30,0,0
-123.077479,49.259602,1,30,0,0
-123.077246,49.225398,1,60,0,0
-123.077097,49.211054,1,60,0,0
-123.076488,49.240292,1,60,0,0
-123.072508,49.320013,1,30,0,0
-123.072029,49.330222,1,30,0,0
-123.070637,49.320925,5,30,0,0
-123.070401,49.273008,5,30,0,0
-123.070035,49.269489,1,30,0,0
-123.069794,49.259699,1,30,0,0
-123.069239,49.024633,1,50,0,0
-123.065563,49.233146,1,0,0,0
-123.065434,49.232844,1,60,0,0
-123.064343,49.112740,5,0,0,0
-123.063473,49.284877,1,30,0,0
-123.058976,49.060517,1,0,0,0
-123.058125,49.241803,1,30,0,0
-123.057836,49.108788,5,0,0,0
-123.046214,49.089963,1,50,0,0
-123.043973,49.281154,1,50,0,0
-123.041698,49.335313,1,30,0,0
-123.041114,49.224738,1,60,0,0
-123.033801,49.258134,1,30,0,0
-123.033651,49.261961,1,0,0,0
-123.033657,49.279976,1,30,0,0
-123.032144,49.237821,1,30,0,0
-123.032020,49.305208,1,30,0,0
-123.023554,49.232382,1,30,0,0
-123.011576,49.281161,1,30,0,0
-123.006300,49.228901,1,30,0,0
-123.003023,49.280925,1,30,0,0
-122.970083,49.089951,1,0,0,0
-122.970055,49.089770,5,0,0,0
-122.964709,49.280364,1,30,0,0
-122.960719,49.153575,5,60,0,0
-122.960594,49.153405,1,0,0,0
-122.959002,49.218594,1,30,0,0
-122.953733,49.172297,1,0,0,0
-122.953528,50.116918,5,0,0,0
-122.953485,49.172326,5,60,0,0
-122.926641,49.119418,1,60,0,0
-122.926652,49.158098,1,60,0,0
-122.910666,49.244956,1,30,0,0
-122.909504,49.206412,1,0,0,0
-122.909319,49.206280,5,30,0,0
-122.908334,49.219523,1,30,0,0
-122.890309,49.108233,3,0,0,0
-122.890418,49.148620,1,60,0,0
-122.890392,49.162011,1,60,0,0
-122.890172,49.177155,1,30,0,0
-122.889870,49.261842,1,0,0,0
-122.889513,49.261814,5,30,0,0
-122.884320,49.205710,1,30,0,0
-122.867845,49.133927,1,60,0,0
-122.861630,49.234493,1,30,0,0
-122.845840,49.162674,1,30,0,0
-122.845768,49.177000,1,30,0,0
-122.845505,49.197527,5,30,0,0
-122.843222,49.276613,5,30,0,0
-122.842594,49.133629,1,60,0,0
-122.834466,49.148296,1,30,0,0
-122.818910,49.233263,1,30,0,0
-122.801519,49.277271,1,50,0,0
-122.801452,49.277099,3,0,0,0
-122.801502,49.162831,1,30,0,0
-122.801348,49.045649,1,50,0,0
-122.801277,49.250612,1,30,0,0
-122.801297,49.037682,5,0,0,0
-122.801124,49.045697,3,0,0,0
-122.801149,49.037577,1,0,0,0
-122.801099,49.119022,1,60,0,0
-122.800525,49.196890,1,30,0,0
-122.798242,49.022807,5,0,0,0
-122.798101,49.023061,1,0,0,0
-122.797588,53.910314,1,50,0,0
-122.797318,53.910164,3,0,0,0
-122.796449,49.164104,5,30,0,0
-122.796371,49.164250,1,0,0,0
-122.795040,53.920797,1,0,0,0
-122.793570,49.284828,5,30,0,0
-122.793569,49.285095,1,0,0,0
-122.786947,53.989430,1,50,0,0
-122.781723,53.910262,3,0,0,0
-122.780617,53.869260,3,0,0,0
-122.778262,49.190698,1,30,0,0
-122.776377,49.267515,1,50,0,0
-122.769338,49.234692,1,30,0,0
-122.751772,53.912164,1,0,0,0
-122.735323,49.016790,3,0,0,0
-122.735189,49.118824,1,60,0,0
-122.734915,49.118864,1,60,0,0
-122.733510,49.106903,1,60,0,0
-122.689634,49.231031,1,30,0,0
