X	Y	TYPE	SPEED	DIRTYPE	DIRECTION		
-73.706456	45.562641	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.706456 45.562641)',4326),'speedcamerapoi.com'),"
-73.707308	45.52228	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.707308 45.52228)',4326),'speedcamerapoi.com'),"
-73.716996	45.592744	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.716996 45.592744)',4326),'speedcamerapoi.com'),"
-73.720281	45.513795	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.720281 45.513795)',4326),'speedcamerapoi.com'),"
-73.741115	45.45098	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.741115 45.45098)',4326),'speedcamerapoi.com'),"
-73.747002	45.447764	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.747002 45.447764)',4326),'speedcamerapoi.com'),"
-73.748318	45.541116	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.748318 45.541116)',4326),'speedcamerapoi.com'),"
-73.74977	45.4988	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.74977 45.4988)',4326),'speedcamerapoi.com'),"
-73.771768	45.561056	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.771768 45.561056)',4326),'speedcamerapoi.com'),"
-73.776708	45.564008	1	100	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.776708 45.564008)',4326),'speedcamerapoi.com'),"
-73.781873	45.569108	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.781873 45.569108)',4326),'speedcamerapoi.com'),"
-73.787713	45.595344	1	50	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.787713 45.595344)',4326),'speedcamerapoi.com'),"
-73.798569	45.477447	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.798569 45.477447)',4326),'speedcamerapoi.com'),"
-73.806895	45.555147	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.806895 45.555147)',4326),'speedcamerapoi.com'),"
-73.812461	45.553679	1	70	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.812461 45.553679)',4326),'speedcamerapoi.com'),"
-73.82004	45.466855	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.82004 45.466855)',4326),'speedcamerapoi.com'),"
-73.845378	45.630538	1	0	0	0		"(3,1,1,geography::STPointFromText('POINT(-73.845378 45.630538)',4326),'speedcamerapoi.com'),"
